#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
a	<center><big><big><big><big><big>अ</big></big></big></big></big></center>	<center><big><big><b>a</b></big></big><br>[sound:a.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like:<br>f<b>a</b>r, b<b>a</b>r, st<b>a</b>r<br><br>Not like:<br>s<i>a</i>d, b<i>a</i>d, c<i>a</i>t, d<i>a</i>te<br><br><small>mouth should be open but not too much - not wide open.</small>
ā	<center><big><big><big><big><big>आ</big></big></big></big></big></center>	<center><big><big><b>ā</b></big></big><br>[sound:aa.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Pronounced like the short "a",<br>but twice as long, and the mouth should be more open.
i	<center><big><big><big><big><big>इ</big></big></big></big></big></center>	<center><big><big><b>i</b></big></big><br>[sound:i.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "i" in:<br>b<b>i</b>p, s<b>i</b>t, <b>I</b>taly, <b>i</b>n.<br><br>Not like the i in:<br><i>i</i>ce, <i>I</i>reland, <i>i</i>ron, <i>i</i>-pod.
ī	<center><big><big><big><big><big>ई</big></big></big></big></big></center>	<center><big><big><b>ī</b></big></big><br>[sound:ii.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Pronounced like  the short "i", but twice as long.<br><br>Similar to the "ee" or "ea" in the words:<br>s<b>ee</b>n, d<b>ea</b>r, n<b>ea</b>r, cl<b>ea</b>r.<br>(...but a bit longer) <br>
u	<center><big><big><big><big><big>उ</big></big></big></big></big></center>	<center><big><big><b>u</b></big></big><br>[sound:u.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "u" in:<br>p<b>u</b>t. <br><br>not like the "u" in:<br><i>u</i>p, b<i>u</i>t, h<i>u</i>t.
ū	<center><big><big><big><big><big>ऊ</big></big></big></big></big></center>	<center><big><big><b>ū</b></big></big><br>[sound:uu.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Pronounced like the short "u" but twice as long.<br><br> Similar to the double "o" in:<br>r<b>oo</b>m, bl<b>oo</b>m.<br>(...but a bit longer)<br>
ṛ	<center><big><big><big><big><big>ऋ</big></big></big></big></big></center>	<center><big><big><b>ṛ</b></big></big><br>[sound:r2.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>The vocalic "r" is a special sound. It is not the consonant "r" but a reverberating vowel that has a flow of its own.<br><br>It is pronounced with the tongue curling backwards and up to reverberate in touching the upper area of the palate.<br><br>Tips for pronounciation: try to curve the tongue up to the palate and pronounce a rolling "r" sound without pronouncing "i" or "u" after it.<br>
ṝ	<center><big><big><big><big><big>ॠ</big></big></big></big></big></center>	<center><big><big><b>ṝ</b></big></big><br>[sound:r3.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Same like the previous letter - the short vocalic "r" - but twice as long.<br><br><br><br>
ḷ	<center><big><big><big><big><big>ऌ</big></big></big></big></big></center>	<center><big><big><b>ḷ</b></big></big><br>[sound:l2.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Very similar to the short vocalic "r". <br>the difference is that in this letter the tongue touches in a slightly different place.
e	<center><big><big><big><big><big>ए</big></big></big></big></big></center>	<center><big><big><b>e</b></big></big><br>[sound:e.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Combined</li><li>Guna</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "e" in"<br><b>e</b>v<b>e</b>r, n<b>e</b>v<b>e</b>r, b<b>e</b>tter<br>(...but longer)<br><br>not like the "e" in:<br><i>e</i>conomy, b<i>e</i>.
ai	<center><big><big><big><big><big>ऐ</big></big></big></big></big></center>	<center><big><big><b>ai</b></big></big><br>[sound:ai.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Combined</li><li>Vriddhi</li><li>Long</li></ul><hr><b>Pronunciation</b><br>Pronounce like the "i" in:<br>sight, bright, glide<br><br>
