#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
indep_o_M	<center><big><big><big><big><big>ओं</big></big></big></big></big></center>	<center><big><big><b>oṁ</b></big></big><br><big>ओ (o) + ◌ं (anusvāra)</big></center>
indep_aa_H	<center><big><big><big><big><big>आः</big></big></big></big></big></center>	<center><big><big><b>āḥ</b></big></big><br><big>आ (ā) + ◌ः (visarga)</big></center>
indep_i_M	<center><big><big><big><big><big>इं</big></big></big></big></big></center>	<center><big><big><b>iṁ</b></big></big><br><big>इ (i) + ◌ं (anusvāra)</big></center>
anusvara_before_ka	<center><big><big><big>◌ं + क</big></big></big><br><small>anusvāra before k</small></center>	<center><big><big>→ <b>ṅ</b> (ङ)</big></big><br>anusvāra becomes ṅ, the guttural (क-varga) nasal<br><small>e.g. शंकर śaṃkara → śaṅkara</small></center>
anusvara_before_kha	<center><big><big><big>◌ं + ख</big></big></big><br><small>anusvāra before kh</small></center>	<center><big><big>→ <b>ṅ</b> (ङ)</big></big><br>anusvāra becomes ṅ, the guttural (क-varga) nasal<br><small>e.g. शंकर śaṃkara → śaṅkara</small></center>
anusvara_before_ga	<center><big><big><big>◌ं + ग</big></big></big><br><small>anusvāra before g</small></center>	<center><big><big>→ <b>ṅ</b> (ङ)</big></big><br>anusvāra becomes ṅ, the guttural (क-varga) nasal<br><small>e.g. शंकर śaṃkara → śaṅkara</small></center>
anusvara_before_gha	<center><big><big><big>◌ं + घ</big></big></big><br><small>anusvāra before gh</small></center>	<center><big><big>→ <b>ṅ</b> (ङ)</big></big><br>anusvāra becomes ṅ, the guttural (क-varga) nasal<br><small>e.g. शंकर śaṃkara → śaṅkara</small></center>
anusvara_before_GNa	<center><big><big><big>◌ं + ङ</big></big></big><br><small>anusvāra before ṅ</small></center>	<center><big><big>→ <b>ṅ</b> (ङ)</big></big><br>anusvāra becomes ṅ, the guttural (क-varga) nasal<br><small>e.g. शंकर śaṃkara → śaṅkara</small></center>
anusvara_before_ca	<center><big><big><big>◌ं + च</big></big></big><br><small>anusvāra before c</small></center>	<center><big><big>→ <b>ñ</b> (ञ)</big></big><br>anusvāra becomes ñ, the palatal (च-varga) nasal<br><small>e.g. संचय saṃcaya → sañcaya</small></center>
anusvara_before_cha	<center><big><big><big>◌ं + छ</big></big></big><br><small>anusvāra before ch</small></center>	<center><big><big>→ <b>ñ</b> (ञ)</big></big><br>anusvāra becomes ñ, the palatal (च-varga) nasal<br><small>e.g. संचय saṃcaya → sañcaya</small></center>
anusvara_before_ja	<center><big><big><big>◌ं + ज</big></big></big><br><small>anusvāra before j</small></center>	<center><big><big>→ <b>ñ</b> (ञ)</big></big><br>anusvāra becomes ñ, the palatal (च-varga) nasal<br><small>e.g. संचय saṃcaya → sañcaya</small></center>
anusvara_before_jha	<center><big><big><big>◌ं + झ</big></big></big><br><small>anusvāra before jh</small></center>	<center><big><big>→ <b>ñ</b> (ञ)</big></big><br>anusvāra becomes ñ, the palatal (च-varga) nasal<br><small>e.g. संचय saṃcaya → sañcaya</small></center>
