#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
ka_aa	<center><big><big><big><big><big>का</big></big></big></big></big></center>	<center><big><big><b>kā</b></big></big></center>
ka_i	<center><big><big><big><big><big>कि</big></big></big></big></big></center>	<center><big><big><b>ki</b></big></big></center>
ka_ii	<center><big><big><big><big><big>की</big></big></big></big></big></center>	<center><big><big><b>kī</b></big></big></center>
ka_u	<center><big><big><big><big><big>कु</big></big></big></big></big></center>	<center><big><big><b>ku</b></big></big></center>
ka_uu	<center><big><big><big><big><big>कू</big></big></big></big></big></center>	<center><big><big><b>kū</b></big></big></center>
ka_RRi	<center><big><big><big><big><big>कृ</big></big></big></big></big></center>	<center><big><big><b>kṛ</b></big></big></center>
ka_RRI	<center><big><big><big><big><big>कॄ</big></big></big></big></big></center>	<center><big><big><b>kṝ</b></big></big></center>
ka_LLi	<center><big><big><big><big><big>कॢ</big></big></big></big></big></center>	<center><big><big><b>kḷ</b></big></big></center>
ka_e	<center><big><big><big><big><big>के</big></big></big></big></big></center>	<center><big><big><b>ke</b></big></big></center>
ka_ai	<center><big><big><big><big><big>कै</big></big></big></big></big></center>	<center><big><big><b>kai</b></big></big></center>
ka_o	<center><big><big><big><big><big>को</big></big></big></big></big></center>	<center><big><big><b>ko</b></big></big></center>
ka_au	<center><big><big><big><big><big>कौ</big></big></big></big></big></center>	<center><big><big><b>kau</b></big></big></center>
ka_aM	<center><big><big><big><big><big>कं</big></big></big></big></big></center>	<center><big><big><b>kaṁ</b></big></big></center>
ka_aH	<center><big><big><big><big><big>कः</big></big></big></big></big></center>	<center><big><big><b>kaḥ</b></big></big></center>
kha_aa	<center><big><big><big><big><big>खा</big></big></big></big></big></center>	<center><big><big><b>khā</b></big></big></center>
kha_i	<center><big><big><big><big><big>खि</big></big></big></big></big></center>	<center><big><big><b>khi</b></big></big></center>
kha_ii	<center><big><big><big><big><big>खी</big></big></big></big></big></center>	<center><big><big><b>khī</b></big></big></center>
kha_u	<center><big><big><big><big><big>खु</big></big></big></big></big></center>	<center><big><big><b>khu</b></big></big></center>
kha_uu	<center><big><big><big><big><big>खू</big></big></big></big></big></center>	<center><big><big><b>khū</b></big></big></center>
kha_RRi	<center><big><big><big><big><big>खृ</big></big></big></big></big></center>	<center><big><big><b>khṛ</b></big></big></center>
kha_RRI	<center><big><big><big><big><big>खॄ</big></big></big></big></big></center>	<center><big><big><b>khṝ</b></big></big></center>
kha_LLi	<center><big><big><big><big><big>खॢ</big></big></big></big></big></center>	<center><big><big><b>khḷ</b></big></big></center>
kha_e	<center><big><big><big><big><big>खे</big></big></big></big></big></center>	<center><big><big><b>khe</b></big></big></center>
kha_ai	<center><big><big><big><big><big>खै</big></big></big></big></big></center>	<center><big><big><b>khai</b></big></big></center>
kha_o	<center><big><big><big><big><big>खो</big></big></big></big></big></center>	<center><big><big><b>kho</b></big></big></center>
kha_au	<center><big><big><big><big><big>खौ</big></big></big></big></big></center>	<center><big><big><b>khau</b></big></big></center>
kha_aM	<center><big><big><big><big><big>खं</big></big></big></big></big></center>	<center><big><big><b>khaṁ</b></big></big></center>
kha_aH	<center><big><big><big><big><big>खः</big></big></big></big></big></center>	<center><big><big><b>khaḥ</b></big></big></center>
ga_aa	<center><big><big><big><big><big>गा</big></big></big></big></big></center>	<center><big><big><b>gā</b></big></big></center>
ga_i	<center><big><big><big><big><big>गि</big></big></big></big></big></center>	<center><big><big><b>gi</b></big></big></center>
ga_ii	<center><big><big><big><big><big>गी</big></big></big></big></big></center>	<center><big><big><b>gī</b></big></big></center>
ga_u	<center><big><big><big><big><big>गु</big></big></big></big></big></center>	<center><big><big><b>gu</b></big></big></center>
ga_uu	<center><big><big><big><big><big>गू</big></big></big></big></big></center>	<center><big><big><b>gū</b></big></big></center>
ga_RRi	<center><big><big><big><big><big>गृ</big></big></big></big></big></center>	<center><big><big><b>gṛ</b></big></big></center>
ga_RRI	<center><big><big><big><big><big>गॄ</big></big></big></big></big></center>	<center><big><big><b>gṝ</b></big></big></center>
ga_LLi	<center><big><big><big><big><big>गॢ</big></big></big></big></big></center>	<center><big><big><b>gḷ</b></big></big></center>
ga_e	<center><big><big><big><big><big>गे</big></big></big></big></big></center>	<center><big><big><b>ge</b></big></big></center>
ga_ai	<center><big><big><big><big><big>गै</big></big></big></big></big></center>	<center><big><big><b>gai</b></big></big></center>
ga_o	<center><big><big><big><big><big>गो</big></big></big></big></big></center>	<center><big><big><b>go</b></big></big></center>
