#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
pa_ra	<center><big><big><big><big><big>प्र</big></big></big></big></big></center>	<center><big><big><b>pra</b></big></big><br><big>प् (p) + र (ra)</big><br><small>frequency: 21.172%</small></center>
ta_ra	<center><big><big><big><big><big>त्र</big></big></big></big></big></center>	<center><big><big><b>tra</b></big></big><br><big>त् (t) + र (ra)</big><br><small>frequency: 14.06%</small></center>
sa_ta	<center><big><big><big><big><big>स्त</big></big></big></big></big></center>	<center><big><big><b>sta</b></big></big><br><big>स् (s) + त (ta)</big><br><small>frequency: 13.762%</small></center>
sa_ya	<center><big><big><big><big><big>स्य</big></big></big></big></big></center>	<center><big><big><b>sya</b></big></big><br><big>स् (s) + य (ya)</big><br><small>frequency: 13.483%</small></center>
sha_ca	<center><big><big><big><big><big>श्च</big></big></big></big></big></center>	<center><big><big><b>śca</b></big></big><br><big>श् (ś) + च (ca)</big><br><small>frequency: 12.999%</small></center>
na_ta	<center><big><big><big><big><big>न्त</big></big></big></big></big></center>	<center><big><big><b>nta</b></big></big><br><big>न् (n) + त (ta)</big><br><small>frequency: 12.919%</small></center>
ra_va	<center><big><big><big><big><big>र्व</big></big></big></big></big></center>	<center><big><big><b>rva</b></big></big><br><big>र् (r) + व (va)</big><br><small>frequency: 11.898%</small></center>
ta_ya	<center><big><big><big><big><big>त्य</big></big></big></big></big></center>	<center><big><big><b>tya</b></big></big><br><big>त् (t) + य (ya)</big><br><small>frequency: 9.763%</small></center>
ra_ma	<center><big><big><big><big><big>र्म</big></big></big></big></big></center>	<center><big><big><b>rma</b></big></big><br><big>र् (r) + म (ma)</big><br><small>frequency: 9.114%</small></center>
ta_va	<center><big><big><big><big><big>त्व</big></big></big></big></big></center>	<center><big><big><b>tva</b></big></big><br><big>त् (t) + व (va)</big><br><small>frequency: 8.125%</small></center>
ta_ta	<center><big><big><big><big><big>त्त</big></big></big></big></big></center>	<center><big><big><b>tta</b></big></big><br><big>त् (t) + त (ta)</big><br><small>frequency: 7.464%</small></center>
na_ya	<center><big><big><big><big><big>न्य</big></big></big></big></big></center>	<center><big><big><b>nya</b></big></big><br><big>न् (n) + य (ya)</big><br><small>frequency: 7.223%</small></center>
ra_ya	<center><big><big><big><big><big>र्य</big></big></big></big></big></center>	<center><big><big><b>rya</b></big></big><br><big>र् (r) + य (ya)</big><br><small>frequency: 6.633%</small></center>
da_dha	<center><big><big><big><big><big>द्ध</big></big></big></big></big></center>	<center><big><big><b>ddha</b></big></big><br><big>द् (d) + ध (dha)</big><br><small>frequency: 6.155%</small></center>
va_ya	<center><big><big><big><big><big>व्य</big></big></big></big></big></center>	<center><big><big><b>vya</b></big></big><br><big>व् (v) + य (ya)</big><br><small>frequency: 6.095%</small></center>
da_ra	<center><big><big><big><big><big>द्र</big></big></big></big></big></center>	<center><big><big><b>dra</b></big></big><br><big>द् (d) + र (ra)</big><br><small>frequency: 5.763%</small></center>
sha_ra	<center><big><big><big><big><big>श्र</big></big></big></big></big></center>	<center><big><big><b>śra</b></big></big><br><big>श् (ś) + र (ra)</big><br><small>frequency: 5.604%</small></center>
da_ya	<center><big><big><big><big><big>द्य</big></big></big></big></big></center>	<center><big><big><b>dya</b></big></big><br><big>द् (d) + य (ya)</big><br><small>frequency: 5.591%</small></center>
ka_ra	<center><big><big><big><big><big>क्र</big></big></big></big></big></center>	<center><big><big><b>kra</b></big></big><br><big>क् (k) + र (ra)</big><br><small>frequency: 5.207%</small></center>
da_va	<center><big><big><big><big><big>द्व</big></big></big></big></big></center>	<center><big><big><b>dva</b></big></big><br><big>द् (d) + व (va)</big><br><small>frequency: 5.162%</small></center>
na_na	<center><big><big><big><big><big>न्न</big></big></big></big></big></center>	<center><big><big><b>nna</b></big></big><br><big>न् (n) + न (na)</big><br><small>frequency: 5.086%</small></center>
sa_ma	<center><big><big><big><big><big>स्म</big></big></big></big></big></center>	<center><big><big><b>sma</b></big></big><br><big>स् (s) + म (ma)</big><br><small>frequency: 4.964%</small></center>
ra_tha	<center><big><big><big><big><big>र्थ</big></big></big></big></big></center>	<center><big><big><b>rtha</b></big></big><br><big>र् (r) + थ (tha)</big><br><small>frequency: 4.883%</small></center>
Sha_Ta	<center><big><big><big><big><big>ष्ट</big></big></big></big></big></center>	<center><big><big><b>ṣṭa</b></big></big><br><big>ष् (ṣ) + ट (ṭa)</big><br><small>frequency: 4.855%</small></center>
ka_ta	<center><big><big><big><big><big>क्त</big></big></big></big></big></center>	<center><big><big><b>kta</b></big></big><br><big>क् (k) + त (ta)</big><br><small>frequency: 4.85%</small></center>
sa_va	<center><big><big><big><big><big>स्व</big></big></big></big></big></center>	<center><big><big><b>sva</b></big></big><br><big>स् (s) + व (va)</big><br><small>frequency: 4.801%</small></center>
ba_ra	<center><big><big><big><big><big>ब्र</big></big></big></big></big></center>	<center><big><big><b>bra</b></big></big><br><big>ब् (b) + र (ra)</big><br><small>frequency: 4.583%</small></center>
Na_Da	<center><big><big><big><big><big>ण्ड</big></big></big></big></big></center>	<center><big><big><b>ṇḍa</b></big></big><br><big>ण् (ṇ) + ड (ḍa)</big><br><small>frequency: 4.57%</small></center>
Sha_Tha	<center><big><big><big><big><big>ष्ठ</big></big></big></big></big></center>	<center><big><big><b>ṣṭha</b></big></big><br><big>ष् (ṣ) + ठ (ṭha)</big><br><small>frequency: 4.521%</small></center>
ra_ta	<center><big><big><big><big><big>र्त</big></big></big></big></big></center>	<center><big><big><b>rta</b></big></big><br><big>र् (r) + त (ta)</big><br><small>frequency: 4.314%</small></center>
ca_cha	<center><big><big><big><big><big>च्छ</big></big></big></big></big></center>	<center><big><big><b>ccha</b></big></big><br><big>च् (c) + छ (cha)</big><br><small>frequency: 4.297%</small></center>
ta_ma	<center><big><big><big><big><big>त्म</big></big></big></big></big></center>	<center><big><big><b>tma</b></big></big><br><big>त् (t) + म (ma)</big><br><small>frequency: 4.163%</small></center>
ra_Sha	<center><big><big><big><big><big>र्ष</big></big></big></big></big></center>	<center><big><big><b>rṣa</b></big></big><br><big>र् (r) + ष (ṣa)</big><br><small>frequency: 4.117%</small></center>
sa_tha	<center><big><big><big><big><big>स्थ</big></big></big></big></big></center>	<center><big><big><b>stha</b></big></big><br><big>स् (s) + थ (tha)</big><br><small>frequency: 3.492%</small></center>
sha_va	<center><big><big><big><big><big>श्व</big></big></big></big></big></center>	<center><big><big><b>śva</b></big></big><br><big>श् (ś) + व (va)</big><br><small>frequency: 3.454%</small></center>
Sha_ya	<center><big><big><big><big><big>ष्य</big></big></big></big></big></center>	<center><big><big><b>ṣya</b></big></big><br><big>ष् (ṣ) + य (ya)</big><br><small>frequency: 3.44%</small></center>
