#separator:Tab
#html:true
#deck:🕉️ Sanskrit External Consonant Sandhi
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
external_consonant_sandhi:hc_voicing:vāk+devī	<center><big><big><big>वाक् देवी</big></big></big><br><small>(वाक् ← वाच्)</small></center>	<center><big><big><b>वाग्देवी</b></big></big><br><big>vāk + devī → vāgdevī</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi:hc_voicing:tat+vanam	<center><big><big><big>तत् वनम्</big></big></big><br><small>(तत् ← तद्)</small></center>	<center><big><big><b>तद्वनम्</b></big></big><br><big>tat + vanam → tadvanam</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi:hc_voicing:vanāt+agaccham	<center><big><big><big>वनात् अगच्छम्</big></big></big></center>	<center><big><big><b>वनादगच्छम्</b></big></big><br><big>vanāt + agaccham → vanādagaccham</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi:hc_voicing:jagat+īśaḥ	<center><big><big><big>जगत् ईशः</big></big></big></center>	<center><big><big><b>जगदीशः</b></big></big><br><big>jagat + īśaḥ → jagadīśaḥ</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi:hc_nasal:vāk+maya	<center><big><big><big>वाक् मय</big></big></big><br><small>(वाक् ← वाच्)</small></center>	<center><big><big><b>वाङ्मय</b></big></big><br><big>vāk + maya → vāṅmaya</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi:hc_nasal:jagat+nāthaḥ	<center><big><big><big>जगत् नाथः</big></big></big></center>	<center><big><big><b>जगन्नाथः</b></big></big><br><big>jagat + nāthaḥ → jagannāthaḥ</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi:hc_nasal:ṣaṭ+māsāḥ	<center><big><big><big>षट् मासाः</big></big></big><br><small>(षट् ← षष्)</small></center>	<center><big><big><b>षण्मासाः</b></big></big><br><big>ṣaṭ + māsāḥ → ṣaṇmāsāḥ</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi:hc_nasal:cit+mayaḥ	<center><big><big><big>चित् मयः</big></big></big></center>	<center><big><big><b>चिन्मयः</b></big></big><br><big>cit + mayaḥ → cinmayaḥ</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi:t_palatal:tat+ca	<center><big><big><big>तत् च</big></big></big><br><small>(तत् ← तद्)</small></center>	<center><big><big><b>तच्च</b></big></big><br><big>tat + ca → tacca</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi:t_palatal:sat+cit	<center><big><big><big>सत् चित्</big></big></big></center>	<center><big><big><b>सच्चित्</b></big></big><br><big>sat + cit → saccit</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi:t_palatal:tat+jalam	<center><big><big><big>तत् जलम्</big></big></big><br><small>(तत् ← तद्)</small></center>	<center><big><big><b>तज्जलम्</b></big></big><br><big>tat + jalam → tajjalam</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi:t_palatal:vidyut+jāyate	<center><big><big><big>विद्युत् जायते</big></big></big></center>	<center><big><big><b>विद्युज्जायते</b></big></big><br><big>vidyut + jāyate → vidyujjāyate</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
