#separator:Tab
#html:true
#deck:🕉️ Sanskrit External Consonant Sandhi (Splitting)
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
external_consonant_sandhi_split:hc_voicing:vāk+devī	<center><big><big><big>वाग्देवी</big></big></big></center>	<center><big><big><b>वाक् + देवी</b></big></big><br><big>vāgdevī → vāk + devī</big><br><small>(वाक् ← वाच्)</small><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi_split:hc_voicing:tat+vanam	<center><big><big><big>तद्वनम्</big></big></big></center>	<center><big><big><b>तत् + वनम्</b></big></big><br><big>tadvanam → tat + vanam</big><br><small>(तत् ← तद्)</small><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi_split:hc_voicing:vanāt+agaccham	<center><big><big><big>वनादगच्छम्</big></big></big></center>	<center><big><big><b>वनात् + अगच्छम्</b></big></big><br><big>vanādagaccham → vanāt + agaccham</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi_split:hc_voicing:jagat+īśaḥ	<center><big><big><big>जगदीशः</big></big></big></center>	<center><big><big><b>जगत् + ईशः</b></big></big><br><big>jagadīśaḥ → jagat + īśaḥ</big><br><br><b>A voiceless final becomes the voiced consonant of its own class</b><br>क् ट् त् प् become ग् ड् द् ब् before a vowel or any voiced consonant. This is the general rule; rules 2-5 override it at particular junctions.</center>
external_consonant_sandhi_split:hc_nasal:vāk+maya	<center><big><big><big>वाङ्मय</big></big></big></center>	<center><big><big><b>वाक् + मय</b></big></big><br><big>vāṅmaya → vāk + maya</big><br><small>(वाक् ← वाच्)</small><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi_split:hc_nasal:jagat+nāthaḥ	<center><big><big><big>जगन्नाथः</big></big></big></center>	<center><big><big><b>जगत् + नाथः</b></big></big><br><big>jagannāthaḥ → jagat + nāthaḥ</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi_split:hc_nasal:ṣaṭ+māsāḥ	<center><big><big><big>षण्मासाः</big></big></big></center>	<center><big><big><b>षट् + मासाः</b></big></big><br><big>ṣaṇmāsāḥ → ṣaṭ + māsāḥ</big><br><small>(षट् ← षष्)</small><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi_split:hc_nasal:cit+mayaḥ	<center><big><big><big>चिन्मयः</big></big></big></center>	<center><big><big><b>चित् + मयः</b></big></big><br><big>cinmayaḥ → cit + mayaḥ</big><br><br><b>A voiceless final becomes the nasal of its own class before a nasal</b><br>Before न् or म् the final takes both the voicing and the nasality of what follows: क् ट् त् प् become ङ् ण् न् म्.</center>
external_consonant_sandhi_split:t_palatal:tat+ca	<center><big><big><big>तच्च</big></big></big></center>	<center><big><big><b>तत् + च</b></big></big><br><big>tacca → tat + ca</big><br><small>(तत् ← तद्)</small><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi_split:t_palatal:sat+cit	<center><big><big><big>सच्चित्</big></big></big></center>	<center><big><big><b>सत् + चित्</b></big></big><br><big>saccit → sat + cit</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi_split:t_palatal:tat+jalam	<center><big><big><big>तज्जलम्</big></big></big></center>	<center><big><big><b>तत् + जलम्</b></big></big><br><big>tajjalam → tat + jalam</big><br><small>(तत् ← तद्)</small><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi_split:t_palatal:vidyut+jāyate	<center><big><big><big>विद्युज्जायते</big></big></big></center>	<center><big><big><b>विद्युत् + जायते</b></big></big><br><big>vidyujjāyate → vidyut + jāyate</big><br><br><b>त् becomes the corresponding palatal before a palatal</b><br>त् becomes च् before the voiceless palatals च् छ्, and ज् before the voiced palatals ज् झ्.</center>
external_consonant_sandhi_split:t_cerebral:bhavat+ḍamaru	<center><big><big><big>भवड्डमरु</big></big></big></center>	<center><big><big><b>भवत् + डमरु</b></big></big><br><big>bhavaḍḍamaru → bhavat + ḍamaru</big><br><br><b>त् becomes the corresponding cerebral before a cerebral</b><br>त् becomes ट् before the voiceless cerebrals ट् ठ्, and ड् before the voiced cerebrals ड् ढ्. Cerebral-initial words are rare, so this junction is uncommon.</center>
external_consonant_sandhi_split:t_cerebral:tat+ṭīkā	<center><big><big><big>तट्टीका</big></big></big></center>	<center><big><big><b>तत् + टीका</b></big></big><br><big>taṭṭīkā → tat + ṭīkā</big><br><small>(तत् ← तद्)</small><br><br><b>त् becomes the corresponding cerebral before a cerebral</b><br>त् becomes ट् before the voiceless cerebrals ट् ठ्, and ड् before the voiced cerebrals ड् ढ्. Cerebral-initial words are rare, so this junction is uncommon.</center>
external_consonant_sandhi_split:t_cerebral:tat+ḍamaruḥ	<center><big><big><big>तड्डमरुः</big></big></big></center>	<center><big><big><b>तत् + डमरुः</b></big></big><br><big>taḍḍamaruḥ → tat + ḍamaruḥ</big><br><small>(तत् ← तद्)</small><br><br><b>त् becomes the corresponding cerebral before a cerebral</b><br>त् becomes ट् before the voiceless cerebrals ट् ठ्, and ड् before the voiced cerebrals ड् ढ्. Cerebral-initial words are rare, so this junction is uncommon.</center>
external_consonant_sandhi_split:t_cerebral:tat+ḍhaukate	<center><big><big><big>तड्ढौकते</big></big></big></center>	<center><big><big><b>तत् + ढौकते</b></big></big><br><big>taḍḍhaukate → tat + ḍhaukate</big><br><small>(तत् ← तद्)</small><br><br><b>त् becomes the corresponding cerebral before a cerebral</b><br>त् becomes ट् before the voiceless cerebrals ट् ठ्, and ड् before the voiced cerebrals ड् ढ्. Cerebral-initial words are rare, so this junction is uncommon.</center>
external_consonant_sandhi_split:t_l:tat+līna	<center><big><big><big>तल्लीन</big></big></big></center>	<center><big><big><b>तत् + लीन</b></big></big><br><big>tallīna → tat + līna</big><br><small>(तत् ← तद्)</small><br><br><b>त् + ल् → ल्</b><br>त् is fully assimilated to a following ल्, giving a doubled ल्ल.</center>
external_consonant_sandhi_split:t_l:vidyut+latā	<center><big><big><big>विद्युल्लता</big></big></big></center>	<center><big><big><b>विद्युत् + लता</b></big></big><br><big>vidyullatā → vidyut + latā</big><br><br><b>त् + ल् → ल्</b><br>त् is fully assimilated to a following ल्, giving a doubled ल्ल.</center>
external_consonant_sandhi_split:t_l:grāmāt+lokaḥ	<center><big><big><big>ग्रामाल्लोकः</big></big></big></center>	<center><big><big><b>ग्रामात् + लोकः</b></big></big><br><big>grāmāllokaḥ → grāmāt + lokaḥ</big><br><br><b>त् + ल् → ल्</b><br>त् is fully assimilated to a following ल्, giving a doubled ल्ल.</center>
external_consonant_sandhi_split:t_l:tat+labhate	<center><big><big><big>तल्लभते</big></big></big></center>	<center><big><big><b>तत् + लभते</b></big></big><br><big>tallabhate → tat + labhate</big><br><small>(तत् ← तद्)</small><br><br><b>त् + ल् → ल्</b><br>त् is fully assimilated to a following ल्, giving a doubled ल्ल.</center>
