#separator:Tab
#html:true
#deck:🕉️ Bhagavad Gita
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
gita_verse:1.1	<center><big>धृतराष्ट्र उवाच<br><br>धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः।<br><br>मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय।।1.1।।<br> </big></center>	<b>IAST:</b><br>dhṛitarāśhtra uvācha<br>dharma-kṣhetre kuru-kṣhetre samavetā yuyutsavaḥ<br>māmakāḥ pāṇḍavāśhchaiva kimakurvata sañjaya<br><br><br><b>Literal — Gambirananda:</b><br>Dhṛtarāṣṭra said: O Sanjaya, what did my sons and the sons of Pandu do when they assembled on the sacred field of Kurukshetra, eager for battle?<br><br><b>Devotional — Sivananda:</b><br>Dhritarashtra said, "What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?"<br><br>[sound:gita_1_1.mp3]
gita_verse:1.2	<center><big>सञ्जय उवाच<br><br>दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा।<br><br>आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्।।1.2।।<br> </big></center>	<b>IAST:</b><br>sañjaya uvācha<br>dṛiṣhṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā<br>āchāryamupasaṅgamya rājā vachanamabravīt<br><br><br><b>Literal — Gambirananda:</b><br>Sanjaya said: But then, seeing the army of the Pandavas in battle array, King Duryodhana approached the teacher, Drona, and spoke.<br><br><b>Devotional — Sivananda:</b><br>Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.<br><br>[sound:gita_1_2.mp3]
gita_verse:1.3	<center><big>पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्।<br><br>व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता।।1.3।।<br> </big></center>	<b>IAST:</b><br>paśhyaitāṁ pāṇḍu-putrāṇām āchārya mahatīṁ chamūm<br>vyūḍhāṁ drupada-putreṇa tava śhiṣhyeṇa dhīmatā<br><br><br><b>Literal — Gambirananda:</b><br>O teacher, behold this vast army of the sons of Pandu, arrayed for battle by the intelligent disciple of Drupada.<br><br><b>Devotional — Sivananda:</b><br>Behold, O Teacher! This mighty army of the sons of Pandu, arrayed by the son of Drupada, thy wise disciple.<br><br>[sound:gita_1_3.mp3]
gita_verse:1.4-6	<center><big>अत्र शूरा महेष्वासा भीमार्जुनसमा युधि।<br><br>युयुधानो विराटश्च द्रुपदश्च महारथः।।1.4।।<br> <br><br>धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्।<br><br>पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः।।1.5।।<br> <br><br>युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्।<br><br>सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः।।1.6।।<br> </big></center>	<b>IAST:</b><br>atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhi<br>yuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥ<br><br>dhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavān<br>purujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥ<br>yudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavān<br><br>saubhadro draupadeyāśhcha sarva eva mahā-rathāḥ<br><br><br><b>Literal — Gambirananda:</b><br>Here are the heroes wielding great bows, who in battle are peers of Bhima and Arjuna: Yuyudhana (Satyaki) and Virata, and the maharatha (great chariot-rider) Drupada; Dhrstaketu, Cekitana, and the valiant king of Kasi (Varanasi); Purujit, Kuntibhoja, and Saibya, the choicest of men; And the valiant Yudhamanyu, and the chivalrous Uttamaujas; the son of Subhadra (Abhimanyu) and the sons of Draupadi—all of them are, indeed, maharathas.<br><br><b>Devotional — Sivananda:</b><br>Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors. Dhrishtaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya—the best of men. The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of Draupadi, all of them great charioteers (great heroes)."<br><br>[sound:gita_1_4-6.mp3]
gita_verse:1.7	<center><big>अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम।<br><br>नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते।।1.7।।<br> </big></center>	<b>IAST:</b><br>asmākaṁ tu viśhiṣhṭā ye tānnibodha dwijottama<br>nāyakā mama sainyasya sanjñārthaṁ tānbravīmi te<br><br><br><b>Literal — Gambirananda:</b><br>But, O best among the Brahmanas, please be appraised of those who are foremost among us, the founders of my army. I speak of them to you by way of illustration.<br><br><b>Devotional — Sivananda:</b><br>Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to you for your information.<br><br>[sound:gita_1_7.mp3]
gita_verse:1.8	<center><big>भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः।<br><br>अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च।।1.8।।<br> </big></center>	<b>IAST:</b><br>bhavānbhīṣhmaśhcha karṇaśhcha kṛipaśhcha samitiñjayaḥ<br>aśhvatthāmā vikarṇaśhcha saumadattis tathaiva cha<br><br><br><b>Literal — Gambirananda:</b><br>(They are): Your venerable self, Bhisma, Karna, and Krpa, who is ever victorious in battle; Asvatthama, Vikarna, Saumadatti, and Jayadratha.<br><br><b>Devotional — Sivananda:</b><br>"Thou thyself, Bhishma, Karna, Kripa, the victorious in war, Asvatthama, Vikarna, and Bhurisrava, the son of Somadatta—all these are ready for battle."<br><br>[sound:gita_1_8.mp3]
gita_verse:1.9	<center><big>अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः।<br><br>नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः।।1.9।।<br> </big></center>	<b>IAST:</b><br>anye cha bahavaḥ śhūrā madarthe tyaktajīvitāḥ<br>nānā-śhastra-praharaṇāḥ sarve yuddha-viśhāradāḥ<br><br><br><b>Literal — Gambirananda:</b><br>There are many heroes who have dedicated their lives to me, possessing various kinds of weapons and missiles, all of whom are skilled in battle.<br><br><b>Devotional — Sivananda:</b><br>And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.<br><br>[sound:gita_1_9.mp3]
gita_verse:1.10	<center><big>अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्।<br><br>पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्।।1.10।।<br> </big></center>	<b>IAST:</b><br>aparyāptaṁ tadasmākaṁ balaṁ bhīṣhmābhirakṣhitam<br>paryāptaṁ tvidameteṣhāṁ balaṁ bhīmābhirakṣhitam<br><br><br><b>Literal — Gambirananda:</b><br>Therefore, our army, under the complete protection of Bhisma and others, is limitless. But this army of the enemies, under the protection of Bhima and others, is limited.<br><br><b>Devotional — Sivananda:</b><br>Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient.<br><br>[sound:gita_1_10.mp3]
gita_verse:1.11	<center><big>अयनेषु च सर्वेषु यथाभागमवस्थिताः।<br><br>भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि।।1.11।।<br> </big></center>	<b>IAST:</b><br>ayaneṣhu cha sarveṣhu yathā-bhāgamavasthitāḥ<br>bhīṣhmamevābhirakṣhantu bhavantaḥ sarva eva hi<br><br><br><b>Literal — Gambirananda:</b><br>However, venerable sirs, all of you without exception, while occupying all the positions in the different directions as allotted to you respectively, please protect Bhisma in particular.<br><br><b>Devotional — Sivananda:</b><br>Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.<br><br>[sound:gita_1_11.mp3]
gita_verse:1.12	<center><big>तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः।<br><br>सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्।।1.12।।<br> </big></center>	<b>IAST:</b><br>tasya sañjanayan harṣhaṁ kuru-vṛiddhaḥ pitāmahaḥ<br>siṁha-nādaṁ vinadyochchaiḥ śhaṅkhaṁ dadhmau pratāpavān<br><br><br><b>Literal — Gambirananda:</b><br>The valiant grandfather, the eldest of the Kurus, loudly sounding a lion's roar, blew the conch to raise his (Duryodhana's) spirits.<br><br><b>Devotional — Sivananda:</b><br>His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.<br><br>[sound:gita_1_12.mp3]
