#separator:Tab
#html:true
#deck:🕉️ Sanskrit Internal Consonant Sandhi
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
internal_consonant_sandhi:satva:vi+sīdati	<center><big><big><big>वि + सीदति</big></big></big></center>	<center><big><big><b>विषीदति</b></big></big><br><big>vi + sīdati → viṣīdati</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ (a vowel other than अ/आ) · nothing intervening</small></center>
internal_consonant_sandhi:satva:agni+su	<center><big><big><big>अग्नि + सु</big></big></big></center>	<center><big><big><b>अग्निषु</b></big></big><br><big>agni + su → agniṣu</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · nothing intervening · locative plural ending -सु</small></center>
internal_consonant_sandhi:satva:abhi+siñcati	<center><big><big><big>अभि + सिञ्चति</big></big></big></center>	<center><big><big><b>अभिषिञ्चति</b></big></big><br><big>abhi + siñcati → abhiṣiñcati</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · nothing intervening</small></center>
internal_consonant_sandhi:satva:dhanus+ā	<center><big><big><big>धनुस् + आ</big></big></big></center>	<center><big><big><b>धनुषा</b></big></big><br><big>dhanus + ā → dhanuṣā</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger उ · nothing intervening · the स् is not word-final here, so it may retroflex</small></center>
internal_consonant_sandhi:satva:su+suptaḥ	<center><big><big><big>सु + सुप्तः</big></big></big></center>	<center><big><big><b>सुषुप्तः</b></big></big><br><big>su + suptaḥ → suṣuptaḥ</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger उ · nothing intervening</small></center>
internal_consonant_sandhi:satva:vāk+su	<center><big><big><big>वाक् + सु</big></big></big></center>	<center><big><big><b>वाक्षु</b></big></big><br><big>vāk + su → vākṣu</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger क् (क-varga) · nothing intervening</small></center>
internal_consonant_sandhi:satva:catur+su	<center><big><big><big>चतुर् + सु</big></big></big></center>	<center><big><big><b>चतुर्षु</b></big></big><br><big>catur + su → caturṣu</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger र् · nothing intervening</small></center>
internal_consonant_sandhi:satva:pitṛ+su	<center><big><big><big>पितृ + सु</big></big></big></center>	<center><big><big><b>पितृषु</b></big></big><br><big>pitṛ + su → pitṛṣu</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger ऋ · nothing intervening</small></center>
internal_consonant_sandhi:satva:juho+si	<center><big><big><big>जुहो + सि</big></big></big></center>	<center><big><big><b>जुहोषि</b></big></big><br><big>juho + si → juhoṣi</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger ओ · nothing intervening</small></center>
internal_consonant_sandhi:satva:haviḥ+su	<center><big><big><big>हविः + सु</big></big></big></center>	<center><big><big><b>हविःषु</b></big></big><br><big>haviḥ + su → haviḥṣu</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · through the visarga of हविः</small></center>
