#separator:Tab
#html:true
#deck:🕉️ Sanskrit Internal Consonant Sandhi (Splitting)
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
internal_consonant_sandhi_split:satva:vi+sīdati	<center><big><big><big>विषीदति</big></big></big></center>	<center><big><big><b>वि + सीदति</b></big></big><br><big>viṣīdati → vi + sīdati</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ (a vowel other than अ/आ) · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:agni+su	<center><big><big><big>अग्निषु</big></big></big></center>	<center><big><big><b>अग्नि + सु</b></big></big><br><big>agniṣu → agni + su</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · nothing intervening · locative plural ending -सु</small></center>
internal_consonant_sandhi_split:satva:abhi+siñcati	<center><big><big><big>अभिषिञ्चति</big></big></big></center>	<center><big><big><b>अभि + सिञ्चति</b></big></big><br><big>abhiṣiñcati → abhi + siñcati</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:dhanus+ā	<center><big><big><big>धनुषा</big></big></big></center>	<center><big><big><b>धनुस् + आ</b></big></big><br><big>dhanuṣā → dhanus + ā</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger उ · nothing intervening · the स् is not word-final here, so it may retroflex</small></center>
internal_consonant_sandhi_split:satva:su+suptaḥ	<center><big><big><big>सुषुप्तः</big></big></big></center>	<center><big><big><b>सु + सुप्तः</b></big></big><br><big>suṣuptaḥ → su + suptaḥ</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger उ · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:vāk+su	<center><big><big><big>वाक्षु</big></big></big></center>	<center><big><big><b>वाक् + सु</b></big></big><br><big>vākṣu → vāk + su</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger क् (क-varga) · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:catur+su	<center><big><big><big>चतुर्षु</big></big></big></center>	<center><big><big><b>चतुर् + सु</b></big></big><br><big>caturṣu → catur + su</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger र् · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:pitṛ+su	<center><big><big><big>पितृषु</big></big></big></center>	<center><big><big><b>पितृ + सु</b></big></big><br><big>pitṛṣu → pitṛ + su</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger ऋ · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:juho+si	<center><big><big><big>जुहोषि</big></big></big></center>	<center><big><big><b>जुहो + सि</b></big></big><br><big>juhoṣi → juho + si</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger ओ · nothing intervening</small></center>
internal_consonant_sandhi_split:satva:haviḥ+su	<center><big><big><big>हविःषु</big></big></big></center>	<center><big><big><b>हविः + सु</b></big></big><br><big>haviḥṣu → haviḥ + su</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger इ · through the visarga of हविः</small></center>
