#separator:Tab
#html:true
#deck:🕉️ Sanskrit Sandhi
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
sandhi:dirgha:deva+ālaya	<center><big><big><big>देव आलय</big></big></big></center>	<center><big><big><b>देवालय</b></big></big><br><big>deva + ālaya → devālaya</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:vidyā+artha	<center><big><big><big>विद्या अर्थ</big></big></big></center>	<center><big><big><b>विद्यार्थ</b></big></big><br><big>vidyā + artha → vidyārtha</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:mahā+ātman	<center><big><big><big>महा आत्मन्</big></big></big></center>	<center><big><big><b>महात्मन्</b></big></big><br><big>mahā + ātman → mahātman</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:dharma+artha	<center><big><big><big>धर्म अर्थ</big></big></big></center>	<center><big><big><b>धर्मार्थ</b></big></big><br><big>dharma + artha → dharmārtha</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:ravi+indra	<center><big><big><big>रवि इन्द्र</big></big></big></center>	<center><big><big><b>रवीन्द्र</b></big></big><br><big>ravi + indra → ravīndra</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:kavi+īśvara	<center><big><big><big>कवि ईश्वर</big></big></big></center>	<center><big><big><b>कवीश्वर</b></big></big><br><big>kavi + īśvara → kavīśvara</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:guru+upadeśa	<center><big><big><big>गुरु उपदेश</big></big></big></center>	<center><big><big><b>गुरूपदेश</b></big></big><br><big>guru + upadeśa → gurūpadeśa</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:dirgha:vadhū+utsava	<center><big><big><big>वधू उत्सव</big></big></big></center>	<center><big><big><b>वधूत्सव</b></big></big><br><big>vadhū + utsava → vadhūtsava</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
sandhi:guna:deva+indra	<center><big><big><big>देव इन्द्र</big></big></big></center>	<center><big><big><b>देवेन्द्र</b></big></big><br><big>deva + indra → devendra</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
sandhi:guna:gaṇa+īśa	<center><big><big><big>गण ईश</big></big></big></center>	<center><big><big><b>गणेश</b></big></big><br><big>gaṇa + īśa → gaṇeśa</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
