#separator:Tab
#html:true
#deck:🕉️ Vedanta Glossary
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vedanta:a	<center><big>अ</big></center>	<b>a</b><br><br>before vowels ; The negative particle nañ ; sense of: absence, inadequacy, difference, dimin ution, impropriety, opposition, likeness.
vedanta:ā	<center><big>आ</big></center>	<b>ā</b><br><br>The limit exclusive or conclusive, till, until, up to; āṅ maryādā limit, boundary.
vedanta:abādhita	<center><big>अबाधित</big></center>	<b>abādhita</b><br><br>Not subject to negation; unimpeded.
vedanta:ābhāsaḥ	<center><big>आभासः</big></center>	<b>ābhāsaḥ</b><br><br>Resemblance, likeness; light; false appearance, fallacy, erroneous argument.
vedanta:ābhāsanam	<center><big>आभासनम्</big></center>	<b>ābhāsanam</b><br><br>Making apparent or clear, illuminating.
vedanta:abhāvaḥ	<center><big>अभावः</big></center>	<b>abhāvaḥ</b><br><br>The state of non-existence; total absence.
vedanta:abhayadānam	<center><big>अभयदानम्</big></center>	<b>abhayadānam</b><br><br>Giving a promise, assurance, or guarantee of safety or protection.
vedanta:abhayam	<center><big>अभयम्</big></center>	<b>abhayam</b><br><br>Absence or removal of fear.
vedanta:abhedaḥ	<center><big>अभेदः</big></center>	<b>abhedaḥ</b><br><br>Identity; absence of difference.
vedanta:abhidābhāvanā	<center><big>अभिदाभावना</big></center>	<b>abhidābhāvanā</b><br><br>Idea of non-duality (between brahman and self).
vedanta:abhidhā	<center><big>अभिधा</big></center>	<b>abhidhā</b><br><br>To say, speak, tell; mention; passive is called , is said to be.
vedanta:abhidhānam	<center><big>अभिधानम्</big></center>	<b>abhidhānam</b><br><br>Name; dictionary.
vedanta:abhidheyam	<center><big>अभिधेयम्</big></center>	<b>abhidheyam</b><br><br>What is named; meaning, sense.
vedanta:abhihita	<center><big>अभिहित</big></center>	<b>abhihita</b><br><br>Asserted, predicated; mentioned, said, addressed; p laced upon.
vedanta:abhilāpaḥ	<center><big>अभिलापः</big></center>	<b>abhilāpaḥ</b><br><br>Expression, word, speech.
vedanta:abhimānaḥ	<center><big>अभिमानः</big></center>	<b>abhimānaḥ</b><br><br>Identification with a position which is not an intr insic part of oneself; pride.
vedanta:abhimānī	<center><big>अभिमानी</big></center>	<b>abhimānī</b><br><br>The one who identifies with the physical body.
vedanta:abhinayaḥ	<center><big>अभिनयः</big></center>	<b>abhinayaḥ</b><br><br>Body language; theatrical action, dramatic representation.
vedanta:abhiniveśaḥ	<center><big>अभिनिवेशः</big></center>	<b>abhiniveśaḥ</b><br><br>Commitment, attachment, devotion; resolution, perse verance.
