#separator:Tab
#html:true
#deck:🕉️ Sanskrit Visarga Sandhi
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
visarga_sandhi:as_o_consonant:naraḥ+gacchati	<center><big><big><big>नरः गच्छति</big></big></big></center>	<center><big><big><b>नरो गच्छति</b></big></big><br><big>naraḥ + gacchati → naro gacchati</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_consonant:rāmaḥ+jayati	<center><big><big><big>रामः जयति</big></big></big></center>	<center><big><big><b>रामो जयति</b></big></big><br><big>rāmaḥ + jayati → rāmo jayati</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_consonant:devaḥ+vadati	<center><big><big><big>देवः वदति</big></big></big></center>	<center><big><big><b>देवो वदति</b></big></big><br><big>devaḥ + vadati → devo vadati</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_consonant:bālaḥ+dhāvati	<center><big><big><big>बालः धावति</big></big></big></center>	<center><big><big><b>बालो धावति</b></big></big><br><big>bālaḥ + dhāvati → bālo dhāvati</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_consonant:śivaḥ+namati	<center><big><big><big>शिवः नमति</big></big></big></center>	<center><big><big><b>शिवो नमति</b></big></big><br><big>śivaḥ + namati → śivo namati</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_consonant:sūryaḥ+bhāti	<center><big><big><big>सूर्यः भाति</big></big></big></center>	<center><big><big><b>सूर्यो भाति</b></big></big><br><big>sūryaḥ + bhāti → sūryo bhāti</big><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi:as_o_avagraha:naraḥ+api	<center><big><big><big>नरः अपि</big></big></big></center>	<center><big><big><b>नरोऽपि</b></big></big><br><big>naraḥ + api → naro 'pi</big><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi:as_o_avagraha:rāmaḥ+asti	<center><big><big><big>रामः अस्ति</big></big></big></center>	<center><big><big><b>रामोऽस्ति</b></big></big><br><big>rāmaḥ + asti → rāmo 'sti</big><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi:as_o_avagraha:śivaḥ+aham	<center><big><big><big>शिवः अहम्</big></big></big></center>	<center><big><big><b>शिवोऽहम्</b></big></big><br><big>śivaḥ + aham → śivo 'ham</big><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi:as_o_avagraha:devaḥ+atra	<center><big><big><big>देवः अत्र</big></big></big></center>	<center><big><big><b>देवोऽत्र</b></big></big><br><big>devaḥ + atra → devo 'tra</big><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
