#separator:Tab
#html:true
#deck:🕉️ Sanskrit Visarga Sandhi (Splitting)
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
visarga_sandhi_split:as_o_consonant:naraḥ+gacchati	<center><big><big><big>नरो गच्छति</big></big></big></center>	<center><big><big><b>नरः + गच्छति</b></big></big><br><big>naro gacchati → naraḥ + gacchati</big><br><small>(नरः ← नरस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_consonant:rāmaḥ+jayati	<center><big><big><big>रामो जयति</big></big></big></center>	<center><big><big><b>रामः + जयति</b></big></big><br><big>rāmo jayati → rāmaḥ + jayati</big><br><small>(रामः ← रामस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_consonant:devaḥ+vadati	<center><big><big><big>देवो वदति</big></big></big></center>	<center><big><big><b>देवः + वदति</b></big></big><br><big>devo vadati → devaḥ + vadati</big><br><small>(देवः ← देवस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_consonant:bālaḥ+dhāvati	<center><big><big><big>बालो धावति</big></big></big></center>	<center><big><big><b>बालः + धावति</b></big></big><br><big>bālo dhāvati → bālaḥ + dhāvati</big><br><small>(बालः ← बालस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_consonant:śivaḥ+namati	<center><big><big><big>शिवो नमति</big></big></big></center>	<center><big><big><b>शिवः + नमति</b></big></big><br><big>śivo namati → śivaḥ + namati</big><br><small>(शिवः ← शिवस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_consonant:sūryaḥ+bhāti	<center><big><big><big>सूर्यो भाति</big></big></big></center>	<center><big><big><b>सूर्यः + भाति</b></big></big><br><big>sūryo bhāti → sūryaḥ + bhāti</big><br><small>(सूर्यः ← सूर्यस्)</small><br><br><b>-aḥ → -o before a voiced consonant</b><br>A word-final -aḥ (from an original -as) becomes -o before any voiced consonant.</center>
visarga_sandhi_split:as_o_avagraha:naraḥ+api	<center><big><big><big>नरोऽपि</big></big></big></center>	<center><big><big><b>नरः + अपि</b></big></big><br><big>naro 'pi → naraḥ + api</big><br><small>(नरः ← नरस्)</small><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi_split:as_o_avagraha:rāmaḥ+asti	<center><big><big><big>रामोऽस्ति</big></big></big></center>	<center><big><big><b>रामः + अस्ति</b></big></big><br><big>rāmo 'sti → rāmaḥ + asti</big><br><small>(रामः ← रामस्)</small><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi_split:as_o_avagraha:śivaḥ+aham	<center><big><big><big>शिवोऽहम्</big></big></big></center>	<center><big><big><b>शिवः + अहम्</b></big></big><br><big>śivo 'ham → śivaḥ + aham</big><br><small>(शिवः ← शिवस्)</small><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
visarga_sandhi_split:as_o_avagraha:devaḥ+atra	<center><big><big><big>देवोऽत्र</big></big></big></center>	<center><big><big><b>देवः + अत्र</b></big></big><br><big>devo 'tra → devaḥ + atra</big><br><small>(देवः ← देवस्)</small><br><br><b>-aḥ + a- → -o (the a is elided, marked by an avagraha ऽ)</b><br>Before a short initial a, -aḥ becomes -o and that a is dropped; the elision is marked with an avagraha (ऽ).</center>
